wordform,train_count,test_count
czarnych goblinów,0,0
czarnych trollach,0,0
czarnych trolli,0,0
czarnych wilkach,0,0
czarnych wilków,0,0
czarnym goblinem,0,0
czarnym goblinie,0,0
czarnym goblinom,1,0
czarnym trollem,0,1
czarnym trollom,0,0
czarnym trollu,0,0
czarnym wilkiem,0,0
czarnym wilkom,0,0
czarnym wilku,0,0
czarnymi goblinami,0,0
czarnymi trollami,0,0
czarnymi wilkami,0,0
demon,16,0
demona,9,1
demonach,0,0
demonami,0,0
demonem,5,1
demonie,0,0
demonom,1,0
demonowi,0,0
demony,7,0
demonów,9,2
elitarni orkowie,0,0
elitarnych orkach,0,0
elitarnych orków,3,0
elitarnym orkom,0,0
elitarnymi orkami,0,0
goblin,21,4
goblin wojownik,2,2
goblina,20,2
goblina wojownika,0,1
goblinach,2,0
goblinach wojownikach,0,0
goblinami,11,2
goblinami wojownikami,0,0
goblinem,1,0
goblinem wojownikiem,0,0
goblinie,2,0
goblinie wojowniku,0,0
goblinom,6,0
goblinom wojownikom,0,0
goblinowi,1,0
goblinowi wojownikowi,0,0
gobliny,30,2
gobliny wojownicy,0,0
goblinów,16,3
goblinów wojowników,0,0
golem,11,4
golema,19,2
golemach,0,0
golemami,3,0
golemem,1,0
golemie,0,0
golemom,1,0
golemowi,0,0
golemowie,0,0
golemy,6,0
golemów,3,0
herszcie orków,0,0
herszt orków,1,0
herszta orków,1,0
hersztach orków,0,0
hersztami orków,0,0
hersztem orków,1,0
hersztom orków,0,0
hersztowi orków,0,0
hersztowie orków,0,0
hersztów orków,0,0
jaszczur,4,1
jaszczura,7,0
jaszczurach,1,0
jaszczurami,0,0
jaszczurem,0,0
jaszczuroczłek,2,0
jaszczuroczłeka,0,0
jaszczuroczłekach,0,0
jaszczuroczłekami,1,0
jaszczuroczłekiem,0,0
jaszczuroczłekom,0,0
jaszczuroczłekowi,0,0
jaszczuroczłekowie,0,0
jaszczuroczłeku,0,0
jaszczuroczłeków,3,0
jaszczuroludzi,3,1
jaszczuroludziach,0,0
jaszczuroludzie,3,0
jaszczuroludziom,0,1
jaszczuroludźmi,0,0
jaszczurom,0,0
jaszczurowi,0,0
jaszczuru,0,0
jaszczury,12,3
jaszczurze,0,0
jaszczurów,9,0
kamienne golemy,0,0
kamiennego golema,1,0
kamiennego strażnika,1,0
kamiennemu golemowi,0,0
kamiennemu strażnikowi,0,0
kamienni strażnicy,0,0
kamienny golem,0,1
kamienny golemie,0,0
kamienny strażnik,0,0
kamienny strażniku,0,0
kamiennych golemach,0,0
kamiennych golemów,0,0
kamiennych strażnikach,0,0
kamiennych strażników,0,0
kamiennym golemem,0,0
kamiennym golemie,0,0
kamiennym golemom,0,0
kamiennym strażnikiem,0,0
kamiennym strażnikom,0,0
kamiennym strażniku,0,0
kamiennymi golemami,1,0
kamiennymi strażnikami,0,0
kretoszczur,6,1
kretoszczura,14,1
kretoszczurach,0,0
kretoszczurami,0,0
kretoszczurem,0,0
kretoszczurom,1,0
kretoszczurowi,0,0
kretoszczuru,0,0
kretoszczury,4,1
kretoszczurze,0,0
kretoszczurów,6,0
krwiopijca,6,0
krwiopijcach,1,0
krwiopijcami,0,0
krwiopijce,0,0
krwiopijco,0,0
krwiopijcom,0,0
krwiopijcy,9,0
krwiopijców,5,1
krwiopijcą,0,0
krwiopijcę,3,0
królowa pełzaczy,1,0
królowe pełzaczy,0,0
królowej pełzaczy,6,0
królowo pełzaczy,0,0
królowych pełzaczy,0,0
królowym pełzaczy,0,0
królowymi pełzaczy,0,0
królową pełzaczy,3,0
kąsacz,0,1
kąsacza,0,0
kąsaczach,0,0
kąsaczami,0,0
kąsacze,0,0
kąsaczem,0,0
kąsaczom,0,0
kąsaczowi,0,0
kąsaczu,0,0
kąsaczy,0,0
lodowe golemy,0,0
lodowe wilki,0,0
lodowego golema,6,2
lodowego wilka,1,0
lodowemu golemowi,0,0
lodowemu wilkowi,0,0
lodowy golem,1,1
lodowy golemie,0,0
lodowy wilk,0,0
lodowy wilku,0,0
lodowych golemach,0,0
lodowych golemów,0,0
lodowych wilkach,0,0
lodowych wilków,1,0
lodowym golemem,0,0
lodowym golemie,0,0
lodowym golemom,0,0
lodowym wilkiem,0,0
lodowym wilkom,0,0
lodowym wilku,0,0
lodowymi golemami,0,0
lodowymi wilkami,0,0
młode trolle,0,0
młode wilki,1,0
młode ścierwojady,0,0
młodego trolla,0,0
młodego wilka,1,0
młodego ścierwojada,2,0
młodemu trollowi,0,0
młodemu wilkowi,0,0
młodemu ścierwojadowi,0,0
młody troll,2,0
młody trollu,0,0
młody wilk,2,0
młody wilku,0,0
młody ścierwojad,15,2
młody ścierwojadzie,0,0
młodych trollach,0,0
młodych trolli,0,0
młodych wilkach,0,0
młodych wilków,0,0
młodych ścierwojadach,0,0
młodych ścierwojadów,0,0
młodym trollem,0,0
młodym trollom,0,0
młodym trollu,0,0
młodym wilkiem,0,0
młodym wilkom,0,0
młodym wilku,0,0
młodym ścierwojadem,0,0
młodym ścierwojadom,0,0
młodym ścierwojadzie,0,0
młodymi trollami,0,0
młodymi wilkami,0,0
młodymi ścierwojadami,0,0
ogar,2,0
ogara,2,0
ogarach,0,0
ogarami,0,0
ogarem,0,0
ogarom,0,0
ogarowi,0,0
ogary,0,0
ogarze,0,0
ogarów,0,0
ognik,1,0
ognika,1,0
ognikach,0,0
ognikami,0,0
ogniki,0,0
ognikiem,0,0
ognikom,0,0
ognikowi,0,0
ogniku,0,0
ogników,1,0
ogniste demony,0,0
ogniste golemy,0,0
ogniste jaszczury,1,1
ogniste smoki,0,0
ognistego demona,0,0
ognistego golema,1,0
ognistego jaszczura,2,0
ognistego smoka,1,1
ognistemu demonowi,0,0
ognistemu golemowi,0,0
ognistemu jaszczurowi,0,0
ognistemu smokowi,0,0
ognisty demon,1,0
ognisty demonie,0,0
ognisty golem,0,0
ognisty golemie,0,0
ognisty jaszczur,2,0
ognisty jaszczurze,0,0
ognisty smok,0,0
ognisty smoku,0,0
ognistych demonach,0,0
ognistych demonów,0,0
ognistych golemach,0,0
ognistych golemów,1,0
ognistych jaszczurach,0,0
ognistych jaszczurów,2,0
ognistych smokach,0,0
ognistych smoków,0,0
ognistym demonem,0,0
ognistym demonie,0,0
ognistym demonom,0,0
ognistym golemem,0,0
ognistym golemie,0,0
ognistym golemom,0,0
ognistym jaszczurem,0,0
ognistym jaszczurom,0,0
ognistym jaszczurze,0,0
ognistym smokiem,0,0
ognistym smokom,0,0
ognistym smoku,0,0
ognistymi demonami,0,0
ognistymi golemami,0,0
ognistymi jaszczurami,0,0
ognistymi smokami,0,0
olbrzymi szczur,0,0
olbrzymi szczurze,0,0
olbrzymich szczurach,0,0
olbrzymich szczurów,0,0
olbrzymie szczury,0,1
olbrzymiego szczura,0,0
olbrzymiemu szczurowi,0,0
olbrzymim szczurem,0,0
olbrzymim szczurom,0,0
olbrzymim szczurze,0,0
olbrzymimi szczurami,0,0
ork,58,6
ork elita,1,0
ork myśliwy,1,0
ork ożywieniec,0,0
ork strażnik,0,0
ork szaman,0,1
ork wojownik,1,0
ork zwiadowca,2,0
ork-elita,0,0
ork-ożywieniec,2,0
ork-szaman,2,0
ork-wojownik,2,0
ork-zwiadowca,3,0
orka,37,3
orka elity,3,0
orka elitę,2,0
orka myśliwego,0,0
orka ożywieńca,0,0
orka strażnika,1,0
orka szamana,0,0
orka wojownika,1,0
orka zwiadowcy,0,0
orka zwiadowcę,0,0
orka-elity,0,0
orka-elitę,1,0
orka-ożywieńca,0,0
orka-szamana,0,0
orka-wojownika,0,0
orka-zwiadowcy,0,0
orka-zwiadowcę,0,0
orkach,1,1
orkach elitach,0,0
orkach myśliwych,0,0
orkach ożywieńcach,0,0
orkach strażnikach,0,0
orkach szamanach,0,0
orkach wojownikach,0,0
orkach zwiadowcach,0,0
orkach-elitach,0,0
orkach-ożywieńcach,0,0
orkach-szamanach,0,0
orkach-wojownikach,0,0
orkach-zwiadowcach,0,0
orkami,35,3
orkami elitami,0,0
orkami myśliwymi,0,0
orkami ożywieńcami,0,0
orkami strażnikami,0,0
orkami szamanami,0,0
orkami wojownikami,0,0
orkami zwiadowcami,0,0
orkami-elitami,0,0
orkami-ożywieńcami,0,0
orkami-szamanami,0,0
orkami-wojownikami,0,0
orkami-zwiadowcami,0,0
orkiem,6,0
orkiem elitą,0,0
orkiem myśliwym,0,0
orkiem ożywieńcem,1,0
orkiem strażnikiem,0,0
orkiem szamanem,0,0
orkiem wojownikiem,0,0
orkiem zwiadowcą,0,0
orkiem-elitą,0,0
orkiem-ożywieńcem,0,0
orkiem-szamanem,0,0
orkiem-wojownikiem,0,0
orkiem-zwiadowcą,0,0
orkom,9,1
orkom elitom,0,0
orkom myśliwym,0,0
orkom ożywieńcom,0,0
orkom strażnikom,0,0
orkom szamanom,0,0
orkom wojownikom,0,0
orkom zwiadowcom,0,0
orkom-elitom,0,0
orkom-ożywieńcom,0,0
orkom-szamanom,0,0
orkom-wojownikom,0,0
orkom-zwiadowcom,0,0
orkowe psy,1,0
orkowego psa,4,0
orkowemu psu,0,0
orkowi,2,0
orkowi elicie,0,0
orkowi myśliwemu,0,0
orkowi ożywieńcowi,0,0
orkowi strażnikowi,0,0
orkowi szamanowi,0,0
orkowi wojownikowi,0,0
orkowi zwiadowcy,0,0
orkowi-elicie,0,0
orkowi-ożywieńcowi,0,0
orkowi-szamanowi,0,0
orkowi-wojownikowi,0,0
orkowi-zwiadowcy,0,0
orkowie,62,10
orkowie elity,0,0
orkowie myśliwi,0,0
orkowie ożywieńcy,0,0
orkowie strażnicy,0,0
orkowie szamani,0,0
orkowie wojownicy,0,0
orkowie zwiadowcy,0,0
orkowie-elity,0,0
orkowie-ożywieńcy,0,0
orkowie-szamani,0,0
orkowie-wojownicy,0,0
orkowie-zwiadowcy,0,0
orkowy pies,1,0
orkowy psie,0,0
orkowych psach,0,0
orkowych psów,1,0
orkowym psem,0,0
orkowym psie,0,0
orkowym psom,0,0
orkowymi psami,0,0
orku,1,0
orku elicie,0,0
orku elito,0,0
orku myśliwy,0,0
orku myśliwym,0,0
orku ożywieńcu,0,0
orku strażniku,0,0
orku szamanie,0,0
orku wojowniku,0,0
orku zwiadowco,0,0
orku zwiadowcy,0,0
orku-elicie,0,0
orku-elito,0,0
orku-ożywieńcu,0,0
orku-szamanie,0,0
orku-wojowniku,0,0
orku-zwiadowco,0,0
orku-zwiadowcy,0,0
orków,208,31
orków elit,0,0
orków myśliwych,0,0
orków ożywieńców,0,0
orków strażników,0,0
orków szamanów,0,0
orków wojowników,0,1
orków zwiadowców,0,0
orków-elit,0,0
orków-ożywieńców,0,0
orków-szamanów,0,0
orków-wojowników,0,0
orków-zwiadowców,0,0
owca,3,0
owcach,0,0
owcami,0,0
owce,3,1
owco,0,0
owcom,0,0
owcy,1,0
owcą,1,0
owcę,3,0
owiec,2,0
panter,0,1
pantera,1,0
panterach,0,0
panterami,0,0
pantero,0,0
panterom,0,0
pantery,1,0
panterze,0,0
panterą,0,0
panterę,0,0
pełzacz,6,1
pełzacz wojownik,1,0
pełzacza,30,3
pełzacza wojownika,0,0
pełzaczach,1,0
pełzaczach wojownikach,0,0
pełzaczami,4,0
pełzaczami wojownikami,0,0
pełzacze,12,1
pełzacze wojownicy,0,0
pełzaczem,1,0
pełzaczem wojownikiem,0,0
pełzaczom,0,0
pełzaczom wojownikom,0,0
pełzaczowi,0,0
pełzaczowi wojownikowi,0,0
pełzaczu,0,0
pełzaczu wojowniku,0,0
pełzaczy,35,1
pełzaczy wojowników,0,0
pełzaczów,0,0
polna bestia,0,0
polna bestio,0,0
polne bestie,1,2
polnej bestii,0,0
polnych bestiach,0,0
polnych bestii,4,0
polnym bestiom,0,0
polnymi bestiami,0,0
polną bestią,0,0
polną bestię,1,0
preriowe ścierwojady,1,0
preriowego ścierwojada,2,0
preriowemu ścierwojadowi,0,0
preriowy ścierwojad,6,0
preriowy ścierwojadzie,0,0
preriowych ścierwojadach,0,0
preriowych ścierwojadów,2,0
preriowym ścierwojadem,0,0
preriowym ścierwojadom,0,0
preriowym ścierwojadzie,0,0
preriowymi ścierwojadami,0,0
przyzwane szkielety,1,0
przyzwanego szkieleta,0,0
przyzwanego szkieletu,0,0
przyzwanemu szkieletowi,0,0
przyzwany szkielecie,0,0
przyzwany szkielet,0,0
przyzwanych szkieletach,0,0
przyzwanych szkieletów,1,0
przyzwanym szkielecie,0,0
przyzwanym szkieletem,0,0
przyzwanym szkieletom,0,0
przyzwanymi szkieletami,0,0
smocze zębacze,1,0
smoczego zębacza,0,1
smoczemu zębaczowi,0,0
smoczy zębacz,2,1
smoczy zębaczu,0,0
smoczych zębaczach,0,0
smoczych zębaczy,0,0
smoczym zębaczem,1,0
smoczym zębaczom,0,0
smoczym zębaczu,0,0
smoczymi zębaczami,0,0
smok ożywieniec,4,0
smok-ożywieniec,0,0
smoka ożywieńca,4,0
smoka-ożywieńca,1,0
smokach ożywieńcach,0,0
smokach-ożywieńcach,0,0
smokami ożywieńcami,0,0
smokami-ożywieńcami,0,0
smoki ożywieńce,0,0
smoki-ożywieńce,0,0
smokiem ożywieńcem,1,0
smokiem-ożywieńcem,0,0
smokom ożywieńcom,0,0
smokom-ożywieńcom,0,0
smokowi ożywieńcowi,0,0
smokowi-ożywieńcowi,0,0
smoku ożywieńcu,0,0
smoku-ożywieńcu,0,0
smoków ożywieńców,0,0
smoków-ożywieńców,0,0
szaman,5,2
szamana,2,0
szamanach,0,0
szamanach orków,0,0
szamanami,0,0
szamanami orków,0,0
szamanem,2,0
szamani,2,0
szamani orków,1,0
szamanie,0,0
szamanom,0,0
szamanom orków,0,0
szamanowi,0,0
szamanów,2,0
szamanów orków,0,0
szczur,14,0
szczura,9,0
szczurach,0,0
szczurami,3,1
szczurem,0,0
szczurom,1,0
szczurowi,1,0
szczuru,0,0
szczury,10,3
szczurze,1,0
szczurów,4,0
szkielecie,7,0
szkielecie goblinie,0,0
szkielecie magu,0,0
szkielecie magu z wieży mgieł,0,0
szkielet,22,1
szkielet goblin,1,0
szkielet mag,3,1
szkielet maga,1,0
szkielet maga z wieży mgieł,1,0
szkieleta,7,2
szkieleta goblina,0,0
szkieleta maga,0,0
szkieleta maga z wieży mgieł,0,0
szkieletach,0,0
szkieletach goblinach,0,0
szkieletach magach,0,0
szkieletach magach z wieży mgieł,0,0
szkieletami,3,0
szkieletami goblinami,0,0
szkieletami magami,0,0
szkieletami magami z wieży mgieł,0,0
szkieletem,6,1
szkieletem goblinem,0,0
szkieletem magiem,0,0
szkieletem magiem z wieży mgieł,0,0
szkieletom,3,0
szkieletom goblinom,1,0
szkieletom magom,0,0
szkieletom magom z wieży mgieł,0,0
szkieletowi,0,0
szkieletowi goblinowi,0,0
szkieletowi magowi,0,0
szkieletowi magowi z wieży mgieł,0,0
szkieletu,4,0
szkieletu goblina,0,0
szkieletu maga,2,0
szkieletu maga z wieży mgieł,0,0
szkielety,22,1
szkielety gobliny,1,0
szkielety magowie,0,0
szkielety magów,0,0
szkielety magów z wieży mgieł,0,0
szkieletów,16,1
szkieletów goblinów,0,0
szkieletów magów,0,0
szkieletów magów z wieży mgieł,0,0
topielca,8,2
topielca spod tamy,0,0
topielcach,0,0
topielcach spod tamy,0,0
topielcami,0,0
topielcami spod tamy,0,0
topielce,4,1
topielce spod tamy,0,0
topielcem,0,0
topielcem spod tamy,0,0
topielcom,0,0
topielcom spod tamy,0,0
topielcowi,0,0
topielcowi spod tamy,0,0
topielcu,0,0
topielcu spod tamy,0,0
topielcy,0,0
topielcze,0,0
topielców,4,0
topielców spod tamy,0,0
topielec,6,1
topielec spod tamy,1,0
troll,42,3
trolla,38,4
trollach,0,0
trollami,2,0
trolle,10,0
trollem,3,3
trolli,14,0
trollom,0,0
trollowi,0,0
trollu,0,0
trollów,0,0
warg,1,0
warga,0,1
wargach,0,0
wargami,0,1
wargi,1,1
wargiem,0,0
wargom,0,0
wargowi,0,0
wargu,0,0
wargów,2,1
wilk,39,1
wilka,38,6
wilkach,0,0
wilkami,6,0
wilki,19,1
wilkiem,1,0
wilkom,0,0
wilkowi,1,0
wilku,28,2
wilków,14,1
wojownicy cienia,1,0
wojownik cienia,2,0
wojownika cienia,1,0
wojownikach cienia,0,0
wojownikami cienia,0,0
wojownikiem cienia,0,0
wojownikom cienia,0,0
wojownikowi cienia,0,0
wojowniku cienia,0,0
wojowników cienia,0,0
wąż błotny,1,0
węża błotnego,2,0
wężach błotnych,0,0
wężami błotnymi,0,0
węże błotne,3,1
wężem błotnym,0,0
wężom błotnym,0,0
wężowi błotnemu,0,0
wężu błotny,0,0
wężu błotnym,0,0
węży błotnych,0,0
zombi,16,0
zombie,37,6
zębacz,23,4
zębacza,11,3
zębaczach,0,0
zębaczami,1,0
zębacze,14,1
zębaczem,3,0
zębaczom,2,0
zębaczowi,0,0
zębaczu,1,0
zębaczy,5,0
zębaczów,0,0
ścierwojad,29,7
ścierwojada,19,0
ścierwojadach,0,0
ścierwojadami,4,0
ścierwojadem,3,0
ścierwojadom,1,0
ścierwojadowi,0,0
ścierwojady,15,0
ścierwojadzie,0,0
ścierwojadów,18,2
